"3","12","399.49","150"
"3","51","238.93","174"
"3","85","475.71","36"
"3","31","234.24","85"
"4","74","387.34","185"
"4","4","404.00","70"
"4","89","227.36","189"
"4","84","159.89","290"
"8","80","91.84","169"
"8","1","151.20","297"
"8","3","227.15","226"
"8","55","392.10","243"
"10","4","344.91","239"
"10","55","141.16","116"
"10","75","228.11","245"
"10","82","357.53","181"
"13","69","254.60","159"
"13","57","290.39","161"
"13","10","54.09","59"
"13","31","225.08","218"
"20","75","429.82","239"
"20","2","91.18","278"
"20","98","431.71","211"
"20","87","85.88","170"
"21","42","124.61","81"
"21","50","49.46","87"
"21","20","49.91","234"
"21","19","397.04","171"
"22","88","153.39","59"
"22","35","299.85","90"
"22","26","241.91","202"
"22","71","137.80","11"
"23","99","291.14","205"
"23","38","276.70","190"
"23","48","151.10","148"
"23","57","148.60","116"
"25","2","413.02","123"
"25","14","171.54","12"
"25","18","20.13","153"
"25","12","239.39","158"
"27","94","219.32","72"
"27","98","132.53","186"
"27","53","415.66","297"
"27","39","411.61","296"
"29","55","360.80","122"
"29","22","146.17","233"
"29","12","93.16","289"
"29","32","141.13","145"
"30","40","2.25","58"
"30","8","352.40","296"
"30","67","136.77","24"
"30","83","218.15","249"
"31","21","350.90","132"
"31","24","306.40","119"
"31","23","469.06","20"
"31","0","448.12","101"
"32","92","452.63","26"
"32","11","100.64","157"
"32","45","81.98","219"
"32","30","474.88","258"
"33","71","471.21","298"
"33","58","103.06","197"
"33","67","291.91","219"
"33","63","208.78","77"
"34","65","487.87","261"
"34","9","294.21","89"
"34","40","313.52","83"
"34","46","339.53","217"
"35","37","207.52","106"
"35","74","256.90","214"
"35","28","43.01","236"
"35","87","269.04","244"
"37","41","397.99","173"
"37","61","389.36","295"
"37","97","444.67","295"
"37","9","423.08","32"
"38","89","423.23","152"
"38","34","341.11","125"
"38","12","97.04","293"
"38","38","131.10","224"
"39","65","9.94","17"
"39","16","43.54","120"
"39","90","39.26","180"
"39","29","399.72","243"
"40","11","114.65","268"
"40","59","234.77","81"
"40","47","71.14","128"
"40","39","453.64","249"
"41","85","460.51","31"
"41","27","422.58","222"
"41","75","401.96","65"
"41","49","286.00","21"
"43","64","273.74","127"
"43","46","397.16","16"
"43","11","54.28","269"
"43","89","198.47","85"
"44","26","209.25","37"
"44","91","365.29","74"
"44","60","153.45","211"
"44","20","152.89","142"
"46","50","122.31","192"
"46","90","211.84","102"
"46","80","207.36","71"
"46","96","86.05","106"
"47","40","459.85","175"
"47","77","148.24","18"
"47","62","330.05","70"
"47","90","287.26","85"
"49","47","477.54","236"
"49","29","65.97","271"
"49","23","268.78","247"
"49","18","306.05","11"
"52","51","31.25","68"
"52","86","195.27","292"
"52","61","398.51","2"
"52","67","63.33","277"
"54","59","423.98","26"
"54","40","437.06","248"
"54","62","447.89","71"
"54","17","233.41","181"
"56","84","42.25","32"
"56","75","42.52","1"
"56","98","106.14","140"
"56","43","171.61","121"
"58","71","280.24","201"
"58","29","422.09","201"
"58","62","427.02","249"
"58","56","0.25","101"
"59","29","311.66","159"
"59","21","248.96","47"
"59","76","200.22","202"
"59","3","39.12","32"
"62","63","36.26","49"
"62","50","140.07","165"
"62","96","299.99","257"
"62","86","267.69","244"
"67","95","330.12","168"
"67","84","394.33","175"
"67","2","30.84","139"
"67","4","178.00","207"
"68","60","179.23","290"
"68","31","260.76","95"
"68","78","418.35","85"
"68","87","425.58","225"
"70","17","138.23","111"
"70","89","338.28","64"
"70","10","230.60","139"
"70","44","73.25","5"
"71","44","22.02","127"
