"0","1972","44","138.07","13","0","1994-12-28 17:39:41"
"1","517","90","31.89","15","0","2019-11-08 04:33:16"
"2","309","92","119.56","6","1","2017-12-08 15:19:40"
"3","122","95","228.43","6","1","1991-09-02 00:44:13"
"4","456","43","234.25","3","0","1985-05-06 15:32:54"
"5","225","76","253.57","8","0","2007-08-28 04:16:25"
"6","598","18","263.87","17","0","2011-09-28 07:19:00"
"7","1938","81","92.96","20","0","1990-08-20 17:04:22"
"8","1352","63","157.04","12","0","1979-04-04 14:30:45"
"9","30","83","69.16","19","0","1989-10-17 21:23:17"
"10","1405","13","286.45","14","1","2015-01-16 01:16:48"
"11","801","77","468.97","12","0","2001-06-15 18:58:08"
"12","740","63","159.18","2","1","2003-10-03 06:49:23"
"13","1155","93","92.01","7","1","1976-08-03 23:57:21"
"14","1111","85","348.20","13","1","1992-03-24 19:14:05"
"15","1523","66","361.08","3","0","2018-09-18 08:05:00"
"16","1173","39","425.90","18","1","2002-01-09 11:53:56"
"17","303","66","51.36","20","0","2005-04-11 18:53:18"
"18","1370","69","315.16","20","0","1970-03-06 04:04:16"
"19","492","57","59.42","3","0","1994-03-30 14:35:36"
"20","1256","39","328.96","7","1","1998-04-17 14:18:15"
"21","1956","31","316.13","4","0","1973-12-09 06:03:38"
"22","361","66","365.16","14","1","2019-05-14 06:23:07"
"23","942","42","361.20","14","0","1989-09-14 23:34:11"
"24","408","62","213.23","2","1","2020-05-08 14:21:18"
"25","657","37","85.54","2","1","1978-05-02 15:52:50"
"26","168","7","409.24","12","1","1999-01-13 08:51:35"
"27","54","17","464.77","6","0","2001-03-24 14:15:09"
"28","806","89","431.14","3","1","1987-12-10 20:40:55"
"29","1204","34","148.44","6","1","1990-07-27 09:52:41"
"30","1199","19","18.37","12","1","1985-12-06 17:42:50"
"31","1215","42","401.10","12","1","2020-10-28 05:46:25"
"32","1048","17","341.86","12","0","1980-04-17 05:15:40"
"33","166","77","342.27","4","1","2002-01-18 09:47:44"
"34","275","94","247.29","11","0","2009-11-11 21:56:35"
"35","1086","95","267.56","10","0","1996-11-01 22:17:18"
"36","1013","80","230.50","10","0","1983-01-10 03:49:19"
"37","344","8","259.50","15","0","2015-01-17 12:55:23"
"38","1747","24","64.80","17","0","2015-01-28 18:09:28"
"39","327","65","381.87","19","0","2003-08-15 19:05:24"
"40","232","88","345.46","3","0","2021-10-28 04:27:51"
"41","1711","20","422.46","5","0","2003-02-10 11:06:24"
"42","1348","68","447.77","14","0","2017-11-06 22:39:39"
"43","1883","84","275.46","6","0","1995-11-19 05:33:54"
"44","1158","7","37.97","17","1","1988-02-16 18:15:26"
"45","201","76","179.09","5","1","2003-12-21 09:11:42"
"46","631","93","451.96","6","1","1976-11-14 02:52:25"
"47","787","89","361.04","16","1","1984-12-14 14:18:28"
"48","1869","44","370.48","9","0","1972-08-28 15:56:09"
"49","1732","41","196.35","5","1","1992-09-22 01:08:49"
"50","1195","63","340.53","17","1","1993-07-23 14:14:29"
"51","1486","13","256.58","19","1","1982-03-25 03:08:21"
"52","676","14","452.18","14","0","1982-10-06 14:25:10"
"53","545","29","19.87","19","0","1988-06-11 13:13:52"
"54","253","68","414.52","7","0","2010-07-30 07:57:59"
